"CIF","CARDNUMBER","TRANSACTIONID"
64,"636-02-3822",721264
65,"583-85-7164",703184
66,"803-22-4017",740849
67,"824-65-1518",567119
68,"348-74-5400",960338
69,"075-68-1033",816219
70,"428-12-4181",603235
71,"606-32-8656",701367
72,"810-82-6185",815311
73,"773-36-5267",354632
74,"011-20-5434",303912
75,"181-68-1544",489818
76,"816-73-7264",311905
77,"637-18-8217",397619
78,"427-26-4174",897455
79,"232-33-8711",506204
80,"323-08-2058",783005
81,"001-78-5567",472212
82,"478-83-4181",180513
83,"536-34-7814",732506
84,"478-07-6871",687540
85,"031-21-8088",457447
86,"842-34-2305",750011
87,"652-07-4277",852569
88,"458-65-8450",401450
89,"760-55-5756",515208
90,"664-42-2061",848128
91,"872-51-8188",877184
92,"623-81-7544",406265
93,"170-78-2658",305359
94,"481-16-5303",131662
95,"682-58-1827",576650
96,"504-33-0552",915358
97,"134-40-3885",216396
98,"438-28-8232",449287
99,"418-87-2656",114091
100,"160-61-7604",622343
1,"348-14-6088",572114
2,"285-83-6186",944209
3,"811-84-3310",335103
4,"773-80-8680",687517
5,"171-24-1530",851020
6,"110-44-7471",268067
7,"425-86-2712",941801
8,"830-04-7362",454242
9,"564-28-0407",152339
10,"077-14-3850",723797
11,"748-68-5701",919394
1,"348-14-6088",724568
2,"285-83-6186",546366
3,"811-84-3310",770516
4,"773-80-8680",763079
5,"171-24-1530",882366
6,"110-44-7471",242686
7,"425-86-2712",515276
8,"830-04-7362",652843
9,"564-28-0407",495650
10,"077-14-3850",272554
11,"748-68-5701",896619
12,"031-57-1657",905899
13,"142-35-0766",686304
14,"145-28-6565",776773
15,"112-63-6481",112423
16,"853-42-5384",626872
17,"832-23-2782",339847
18,"702-72-3427",814804
19,"010-51-1700",476959
20,"355-41-2463",220278
21,"725-05-6638",130417
22,"105-78-4218",288621
23,"043-88-2028",605894
24,"865-72-7506",843786
25,"565-50-8781",577399
26,"358-87-6367",217281
27,"778-08-5267",333309
28,"322-56-6040",927378
29,"417-50-2805",167401
30,"478-77-0168",758951
31,"057-47-0307",977331
32,"731-01-3327",122108
33,"084-76-7037",146002
34,"667-88-5438",135348
35,"775-26-1206",505426
36,"723-13-7731",284487
37,"377-16-0536",925019
38,"588-25-0202",582875
39,"573-50-0347",181486
40,"801-64-4471",126832
41,"354-16-2062",860883
42,"837-86-6353",551981
43,"471-02-2438",922082
44,"745-84-5503",427369
45,"542-35-2342",517839
46,"161-78-0226",209043
47,"100-74-7353",579805
48,"821-51-0773",961272
49,"500-88-5554",584674
50,"362-64-7780",773985
51,"671-68-5564",203756
52,"060-11-2111",579749
53,"682-81-7633",113340
54,"710-87-8515",406892
55,"804-18-1012",861712
56,"117-77-0065",417486
57,"624-13-0454",926025
58,"328-13-7268",462372
59,"461-25-2550",377476
60,"347-47-0667",454968
61,"134-35-4852",220639
62,"105-66-5586",941518
63,"345-71-0885",998302
64,"636-02-3822",975377
65,"583-85-7164",976549
66,"803-22-4017",816122
67,"824-65-1518",256411
68,"348-74-5400",946982
69,"075-68-1033",153395
70,"428-12-4181",416207
71,"606-32-8656",886600
72,"810-82-6185",976938
73,"773-36-5267",501379
74,"011-20-5434",832853
75,"181-68-1544",572481
76,"816-73-7264",320892
77,"637-18-8217",194497
78,"427-26-4174",985246
79,"232-33-8711",120324
80,"323-08-2058",738019
81,"001-78-5567",767688
82,"478-83-4181",236974
83,"536-34-7814",746308
84,"478-07-6871",229347
85,"031-21-8088",803899
86,"842-34-2305",718131
87,"652-07-4277",532895
88,"458-65-8450",571800
89,"760-55-5756",447232
90,"664-42-2061",933893
91,"872-51-8188",361326
92,"623-81-7544",823918
93,"170-78-2658",332508
94,"481-16-5303",145011
95,"682-58-1827",718016
96,"504-33-0552",761030
97,"134-40-3885",698399
98,"438-28-8232",732885
99,"418-87-2656",644692
100,"160-61-7604",346911
1,"348-14-6088",496820
2,"285-83-6186",292469
3,"811-84-3310",921218
4,"773-80-8680",604481
5,"171-24-1530",760513
6,"110-44-7471",405389
7,"425-86-2712",831221
8,"830-04-7362",211053
9,"564-28-0407",253020
10,"077-14-3850",871972
11,"748-68-5701",816887
1,"348-14-6088",799943
2,"285-83-6186",273393
3,"811-84-3310",536330
4,"773-80-8680",991921
5,"171-24-1530",259551
6,"110-44-7471",278369
7,"425-86-2712",643599
8,"830-04-7362",158545
9,"564-28-0407",225645
10,"077-14-3850",110703
11,"748-68-5701",308624
12,"031-57-1657",830979
13,"142-35-0766",644279
14,"145-28-6565",695504
15,"112-63-6481",466799
16,"853-42-5384",381090
17,"832-23-2782",671785
18,"702-72-3427",320748
19,"010-51-1700",165623
20,"355-41-2463",355197
21,"725-05-6638",259796
22,"105-78-4218",776287
23,"043-88-2028",906387
24,"865-72-7506",128976
25,"565-50-8781",192780
26,"358-87-6367",980351
27,"778-08-5267",230874
28,"322-56-6040",683738
29,"417-50-2805",881817
30,"478-77-0168",647890
31,"057-47-0307",175917
32,"731-01-3327",391225
33,"084-76-7037",986499
34,"667-88-5438",838590
35,"775-26-1206",879710
36,"723-13-7731",805064
37,"377-16-0536",332950
38,"588-25-0202",397366
39,"573-50-0347",543757
40,"801-64-4471",356245
41,"354-16-2062",384948
42,"837-86-6353",185118
43,"471-02-2438",165632
44,"745-84-5503",350980
45,"542-35-2342",512520
46,"161-78-0226",292933
47,"100-74-7353",389008
48,"821-51-0773",150784
49,"500-88-5554",780616
50,"362-64-7780",537367
51,"671-68-5564",311757
52,"060-11-2111",307363
53,"682-81-7633",336091
54,"710-87-8515",281947
55,"804-18-1012",563023
56,"117-77-0065",198961
57,"624-13-0454",108688
58,"328-13-7268",265834
59,"461-25-2550",630306
60,"347-47-0667",217763
61,"134-35-4852",110591
62,"105-66-5586",245313
63,"345-71-0885",552820
64,"636-02-3822",281375
65,"583-85-7164",428856
66,"803-22-4017",480859
67,"824-65-1518",702047
68,"348-74-5400",399169
69,"075-68-1033",418822
70,"428-12-4181",218937
71,"606-32-8656",396963
72,"810-82-6185",800978
73,"773-36-5267",162575
74,"011-20-5434",317142
75,"181-68-1544",439368
76,"816-73-7264",433126
77,"637-18-8217",447469
78,"427-26-4174",253912
79,"232-33-8711",406758
80,"323-08-2058",832089
81,"001-78-5567",155375
82,"478-83-4181",208673
83,"536-34-7814",978111
84,"478-07-6871",904698
85,"031-21-8088",176017
86,"842-34-2305",469849
87,"652-07-4277",308836
88,"458-65-8450",711921
89,"760-55-5756",108462
90,"664-42-2061",838593
91,"872-51-8188",820423
92,"623-81-7544",742785
93,"170-78-2658",449395
94,"481-16-5303",524542
95,"682-58-1827",476230
96,"504-33-0552",896347
97,"134-40-3885",377254
98,"438-28-8232",205611
99,"418-87-2656",577918
100,"160-61-7604",963611
1,"348-14-6088",190545
2,"285-83-6186",446751
3,"811-84-3310",487092
4,"773-80-8680",462333
5,"171-24-1530",324223
6,"110-44-7471",192564
7,"425-86-2712",913955
8,"830-04-7362",889588
9,"564-28-0407",727331
10,"077-14-3850",539622
11,"748-68-5701",574187
1,"348-14-6088",614883
2,"285-83-6186",361977
3,"811-84-3310",740711
4,"773-80-8680",552343
5,"171-24-1530",298261
6,"110-44-7471",853305
7,"425-86-2712",644377
8,"830-04-7362",269089
9,"564-28-0407",403328
10,"077-14-3850",832672
11,"748-68-5701",565507
12,"031-57-1657",342556
13,"142-35-0766",149845
14,"145-28-6565",160324
15,"112-63-6481",183593
16,"853-42-5384",304856
17,"832-23-2782",352334
18,"702-72-3427",734197
19,"010-51-1700",318442
20,"355-41-2463",459669
21,"725-05-6638",256066
22,"105-78-4218",906016
23,"043-88-2028",811036
24,"865-72-7506",209013
25,"565-50-8781",153518
26,"358-87-6367",524339
27,"778-08-5267",862589
28,"322-56-6040",819129
29,"417-50-2805",397881
30,"478-77-0168",728351
31,"057-47-0307",303003
32,"731-01-3327",711555
33,"084-76-7037",141959
34,"667-88-5438",783772
35,"775-26-1206",918940
36,"723-13-7731",236993
37,"377-16-0536",208508
38,"588-25-0202",938640
39,"573-50-0347",911904
40,"801-64-4471",221784
41,"354-16-2062",517424
42,"837-86-6353",397929
43,"471-02-2438",206306
44,"745-84-5503",375473
45,"542-35-2342",973982
46,"161-78-0226",249560
47,"100-74-7353",773336
48,"821-51-0773",918406
49,"500-88-5554",925037
50,"362-64-7780",148909
51,"671-68-5564",615858
52,"060-11-2111",923334
53,"682-81-7633",400374
54,"710-87-8515",428297
55,"804-18-1012",523976
56,"117-77-0065",811332
57,"624-13-0454",868550
58,"328-13-7268",289505
59,"461-25-2550",539162
60,"347-47-0667",641140
61,"134-35-4852",743376
62,"105-66-5586",756314
63,"345-71-0885",354927
64,"636-02-3822",975750
65,"583-85-7164",877407
66,"803-22-4017",199602
67,"824-65-1518",762418
68,"348-74-5400",964258
69,"075-68-1033",220431
70,"428-12-4181",158390
71,"606-32-8656",262223
72,"810-82-6185",841762
73,"773-36-5267",122450
74,"011-20-5434",743459
75,"181-68-1544",184633
76,"816-73-7264",349247
77,"637-18-8217",707560
78,"427-26-4174",873518
79,"232-33-8711",571112
80,"323-08-2058",147680
81,"001-78-5567",753118
82,"478-83-4181",155980
83,"536-34-7814",929366
84,"478-07-6871",759864
85,"031-21-8088",171731
86,"842-34-2305",663622
87,"652-07-4277",818345
88,"458-65-8450",800340
89,"760-55-5756",836510
90,"664-42-2061",693988
91,"872-51-8188",598042
92,"623-81-7544",941621
93,"170-78-2658",332728
94,"481-16-5303",722812
95,"682-58-1827",538713
96,"504-33-0552",683223
97,"134-40-3885",941272
98,"438-28-8232",519992
99,"418-87-2656",822106
100,"160-61-7604",698012
1,"348-14-6088",443623
2,"285-83-6186",465121
3,"811-84-3310",892299
4,"773-80-8680",236822
5,"171-24-1530",569028
6,"110-44-7471",282733
7,"425-86-2712",493076
8,"830-04-7362",555626
9,"564-28-0407",943936
10,"077-14-3850",255763
11,"748-68-5701",394051
1,"348-14-6088",634530
2,"285-83-6186",347202
3,"811-84-3310",915514
4,"773-80-8680",393258
5,"171-24-1530",899227
6,"110-44-7471",789137
7,"425-86-2712",797044
8,"830-04-7362",955941
9,"564-28-0407",374585
10,"077-14-3850",755266
11,"748-68-5701",828819
12,"031-57-1657",652212
13,"142-35-0766",934112
14,"145-28-6565",184099
15,"112-63-6481",328999
16,"853-42-5384",208767
17,"832-23-2782",418309
18,"702-72-3427",808169
19,"010-51-1700",746583
20,"355-41-2463",307037
21,"725-05-6638",715556
22,"105-78-4218",389975
23,"043-88-2028",175411
24,"865-72-7506",767617
25,"565-50-8781",752912
26,"358-87-6367",132303
27,"778-08-5267",362006
28,"322-56-6040",550534
29,"417-50-2805",630965
30,"478-77-0168",963318
31,"057-47-0307",659079
32,"731-01-3327",587171
33,"084-76-7037",849929
34,"667-88-5438",625097
35,"775-26-1206",161407
36,"723-13-7731",359194
37,"377-16-0536",632039
38,"588-25-0202",502680
39,"573-50-0347",106002
40,"801-64-4471",855969
41,"354-16-2062",522332
42,"837-86-6353",929567
43,"471-02-2438",134971
44,"745-84-5503",539094
45,"542-35-2342",739588
46,"161-78-0226",756855
47,"100-74-7353",535364
48,"821-51-0773",801029
49,"500-88-5554",676734
50,"362-64-7780",561114
51,"671-68-5564",527060
52,"060-11-2111",799868
53,"682-81-7633",729359
54,"710-87-8515",330406
55,"804-18-1012",930689
56,"117-77-0065",288432
57,"624-13-0454",189249
58,"328-13-7268",993563
59,"461-25-2550",141667
60,"347-47-0667",873231
61,"134-35-4852",549888
62,"105-66-5586",937604
63,"345-71-0885",259214
64,"636-02-3822",647811
65,"583-85-7164",927644
66,"803-22-4017",386228
67,"824-65-1518",659473
68,"348-74-5400",549179
69,"075-68-1033",652955
70,"428-12-4181",455827
71,"606-32-8656",780119
72,"810-82-6185",428492
73,"773-36-5267",360220
74,"011-20-5434",383030
75,"181-68-1544",543356
76,"816-73-7264",945917
77,"637-18-8217",385705
78,"427-26-4174",860879
79,"232-33-8711",559767
80,"323-08-2058",553062
81,"001-78-5567",607215
82,"478-83-4181",627357
83,"536-34-7814",175089
84,"478-07-6871",143758
85,"031-21-8088",896306
86,"842-34-2305",669416
87,"652-07-4277",983656
88,"458-65-8450",241523
89,"760-55-5756",722974
90,"664-42-2061",372913
91,"872-51-8188",182927
92,"623-81-7544",357406
93,"170-78-2658",963619
94,"481-16-5303",383342
95,"682-58-1827",213802
96,"504-33-0552",998345
97,"134-40-3885",765231
98,"438-28-8232",465903
99,"418-87-2656",409345
100,"160-61-7604",283813
1,"348-14-6088",109031
2,"285-83-6186",331828
3,"811-84-3310",934631
4,"773-80-8680",286578
5,"171-24-1530",461944
6,"110-44-7471",893892
7,"425-86-2712",345233
8,"830-04-7362",148091
9,"564-28-0407",837413
10,"077-14-3850",679016
11,"748-68-5701",887038
1,"348-14-6088",673372
2,"285-83-6186",835563
3,"811-84-3310",312763
4,"773-80-8680",815574
5,"171-24-1530",509902
6,"110-44-7471",123879
7,"425-86-2712",467783
8,"830-04-7362",906002
9,"564-28-0407",536623
10,"077-14-3850",958281
11,"748-68-5701",636441
12,"031-57-1657",715484
13,"142-35-0766",525349
14,"145-28-6565",693304
15,"112-63-6481",878891
16,"853-42-5384",461300
17,"832-23-2782",912585
18,"702-72-3427",823930
19,"010-51-1700",659261
20,"355-41-2463",622867
21,"725-05-6638",114642
22,"105-78-4218",751115
23,"043-88-2028",296420
24,"865-72-7506",961930
25,"565-50-8781",703979
26,"358-87-6367",255383
27,"778-08-5267",976179
28,"322-56-6040",772331
29,"417-50-2805",600979
30,"478-77-0168",232031
31,"057-47-0307",949696
32,"731-01-3327",726406
33,"084-76-7037",100867
34,"667-88-5438",749956
35,"775-26-1206",934683
36,"723-13-7731",229422
37,"377-16-0536",564130
38,"588-25-0202",372895
39,"573-50-0347",458925
40,"801-64-4471",697379
41,"354-16-2062",972973
42,"837-86-6353",994687
43,"471-02-2438",471787
44,"745-84-5503",374516
45,"542-35-2342",446227
46,"161-78-0226",966311
47,"100-74-7353",346447
48,"821-51-0773",201993
49,"500-88-5554",711975
50,"362-64-7780",936341
51,"671-68-5564",421753
52,"060-11-2111",634463
53,"682-81-7633",746956
54,"710-87-8515",304786
55,"804-18-1012",502673
56,"117-77-0065",898207
57,"624-13-0454",278253
58,"328-13-7268",895469
59,"461-25-2550",647320
60,"347-47-0667",699801
61,"134-35-4852",102231
62,"105-66-5586",969828
63,"345-71-0885",835874
64,"636-02-3822",434724
65,"583-85-7164",990554
66,"803-22-4017",765901
67,"824-65-1518",802863
68,"348-74-5400",237995
69,"075-68-1033",854978
70,"428-12-4181",854943
71,"606-32-8656",489312
72,"810-82-6185",610202
73,"773-36-5267",966084
74,"011-20-5434",492650
75,"181-68-1544",974753
76,"816-73-7264",613462
77,"637-18-8217",728565
78,"427-26-4174",421927
79,"232-33-8711",609743
80,"323-08-2058",873185
81,"001-78-5567",206956
82,"478-83-4181",362703
83,"536-34-7814",187436
84,"478-07-6871",970482
85,"031-21-8088",693510
86,"842-34-2305",608273
87,"652-07-4277",233004
88,"458-65-8450",939987
89,"760-55-5756",433527
90,"664-42-2061",134976
91,"872-51-8188",625406
92,"623-81-7544",832294
93,"170-78-2658",946003
94,"481-16-5303",462095
95,"682-58-1827",597868
96,"504-33-0552",833788
97,"134-40-3885",273025
98,"438-28-8232",381524
99,"418-87-2656",784232
100,"160-61-7604",487542
1,"348-14-6088",350400
2,"285-83-6186",475749
3,"811-84-3310",148981
4,"773-80-8680",609090
5,"171-24-1530",805571
6,"110-44-7471",642876
7,"425-86-2712",305167
8,"830-04-7362",102809
9,"564-28-0407",427758
10,"077-14-3850",502030
11,"748-68-5701",789952
1,"348-14-6088",563225
2,"285-83-6186",844556
3,"811-84-3310",186483
4,"773-80-8680",256760
5,"171-24-1530",322958
6,"110-44-7471",849402
7,"425-86-2712",586292
8,"830-04-7362",304757
9,"564-28-0407",388866
10,"077-14-3850",463091
11,"748-68-5701",179483
12,"031-57-1657",226605
13,"142-35-0766",932028
14,"145-28-6565",216784
15,"112-63-6481",747883
16,"853-42-5384",412211
17,"832-23-2782",173164
18,"702-72-3427",483282
19,"010-51-1700",820684
20,"355-41-2463",807266
21,"725-05-6638",892674
22,"105-78-4218",515448
23,"043-88-2028",463166
24,"865-72-7506",740349
25,"565-50-8781",181022
26,"358-87-6367",109705
27,"778-08-5267",880596
28,"322-56-6040",922203
29,"417-50-2805",879856
30,"478-77-0168",368895
31,"057-47-0307",947219
32,"731-01-3327",504726
33,"084-76-7037",466819
34,"667-88-5438",531382
35,"775-26-1206",838482
36,"723-13-7731",509509
37,"377-16-0536",183024
38,"588-25-0202",770133
39,"573-50-0347",294097
40,"801-64-4471",699098
41,"354-16-2062",404811
42,"837-86-6353",252353
43,"471-02-2438",659165
44,"745-84-5503",880745
45,"542-35-2342",431172
46,"161-78-0226",840069
47,"100-74-7353",747153
48,"821-51-0773",388854
49,"500-88-5554",320370
50,"362-64-7780",801899
51,"671-68-5564",316394
52,"060-11-2111",233843
53,"682-81-7633",449002
54,"710-87-8515",749848
55,"804-18-1012",446999
56,"117-77-0065",433694
57,"624-13-0454",694012
58,"328-13-7268",605907
59,"461-25-2550",497027
60,"347-47-0667",944218
61,"134-35-4852",343193
62,"105-66-5586",954076
63,"345-71-0885",141654
64,"636-02-3822",180617
65,"583-85-7164",527260
66,"803-22-4017",125426
67,"824-65-1518",805603
68,"348-74-5400",857336
69,"075-68-1033",187006
70,"428-12-4181",604942
71,"606-32-8656",930800
72,"810-82-6185",961023
73,"773-36-5267",921101
74,"011-20-5434",935165
75,"181-68-1544",774009
76,"816-73-7264",608374
77,"637-18-8217",986353
78,"427-26-4174",670175
79,"232-33-8711",185705
80,"323-08-2058",819154
81,"001-78-5567",423908
82,"478-83-4181",174706
83,"536-34-7814",934679
84,"478-07-6871",534394
85,"031-21-8088",331775
86,"842-34-2305",854206
87,"652-07-4277",304668
88,"458-65-8450",772706
89,"760-55-5756",261649
90,"664-42-2061",300543
91,"872-51-8188",568419
92,"623-81-7544",157210
93,"170-78-2658",407542
94,"481-16-5303",757977
95,"682-58-1827",224771
96,"504-33-0552",238275
97,"134-40-3885",180110
98,"438-28-8232",772112
99,"418-87-2656",243183
100,"160-61-7604",721595
1,"348-14-6088",737106
2,"285-83-6186",489818
3,"811-84-3310",424573
4,"773-80-8680",415289
5,"171-24-1530",843464
6,"110-44-7471",991744
7,"425-86-2712",629147
8,"830-04-7362",362324
9,"564-28-0407",975656
10,"077-14-3850",214371
11,"748-68-5701",261580
1,"348-14-6088",528967
2,"285-83-6186",305103
3,"811-84-3310",998650
4,"773-80-8680",285113
5,"171-24-1530",336939
6,"110-44-7471",164483
7,"425-86-2712",959817
8,"830-04-7362",639571
9,"564-28-0407",200203
10,"077-14-3850",821916
11,"748-68-5701",184833
12,"031-57-1657",182869
13,"142-35-0766",426903
14,"145-28-6565",454427
15,"112-63-6481",721491
16,"853-42-5384",292305
17,"832-23-2782",747268
18,"702-72-3427",332229
19,"010-51-1700",642218
20,"355-41-2463",205229
21,"725-05-6638",150546
22,"105-78-4218",443746
23,"043-88-2028",436863
24,"865-72-7506",720757
25,"565-50-8781",742532
26,"358-87-6367",775871
27,"778-08-5267",617429
28,"322-56-6040",854117
29,"417-50-2805",843616
30,"478-77-0168",422039
31,"057-47-0307",656343
32,"731-01-3327",518371
33,"084-76-7037",832694
34,"667-88-5438",880468
35,"775-26-1206",611903
36,"723-13-7731",300933
37,"377-16-0536",588428
38,"588-25-0202",633671
39,"573-50-0347",241389
40,"801-64-4471",402142
41,"354-16-2062",180950
42,"837-86-6353",474341
43,"471-02-2438",606197
44,"745-84-5503",174813
45,"542-35-2342",384359
46,"161-78-0226",946595
47,"100-74-7353",697894
48,"821-51-0773",214988
49,"500-88-5554",505470
50,"362-64-7780",709212
51,"671-68-5564",665826
52,"060-11-2111",670462
53,"682-81-7633",853299
54,"710-87-8515",472350
55,"804-18-1012",637985
56,"117-77-0065",719599
57,"624-13-0454",936660
58,"328-13-7268",564310
59,"461-25-2550",230498
60,"347-47-0667",762435
61,"134-35-4852",753217
62,"105-66-5586",761733
63,"345-71-0885",968347
64,"636-02-3822",478920
65,"583-85-7164",405920
66,"803-22-4017",397887
67,"824-65-1518",381980
68,"348-74-5400",141926
69,"075-68-1033",586604
70,"428-12-4181",911510
71,"606-32-8656",894957
72,"810-82-6185",701792
73,"773-36-5267",710368
74,"011-20-5434",729190
75,"181-68-1544",764713
76,"816-73-7264",868239
77,"637-18-8217",385767
78,"427-26-4174",658531
79,"232-33-8711",348316
80,"323-08-2058",741057
81,"001-78-5567",368905
82,"478-83-4181",658893
83,"536-34-7814",577911
84,"478-07-6871",384030
85,"031-21-8088",907822
86,"842-34-2305",328239
87,"652-07-4277",906887
88,"458-65-8450",354474
89,"760-55-5756",594050
90,"664-42-2061",889550
91,"872-51-8188",343700
92,"623-81-7544",875979
93,"170-78-2658",859551
94,"481-16-5303",487093
95,"682-58-1827",389197
96,"504-33-0552",144463
97,"134-40-3885",741909
98,"438-28-8232",251635
99,"418-87-2656",986238
100,"160-61-7604",375742
1,"348-14-6088",517113
2,"285-83-6186",474677
3,"811-84-3310",332623
4,"773-80-8680",678941
5,"171-24-1530",594185
6,"110-44-7471",598328
7,"425-86-2712",698324
8,"830-04-7362",318650
9,"564-28-0407",584423
10,"077-14-3850",769989
11,"748-68-5701",775465
1,"348-14-6088",587513
2,"285-83-6186",962517
3,"811-84-3310",763365
4,"773-80-8680",387145
5,"171-24-1530",898284
6,"110-44-7471",763232
7,"425-86-2712",332632
8,"830-04-7362",755486
9,"564-28-0407",102440
10,"077-14-3850",914646
11,"748-68-5701",778190
12,"031-57-1657",959505
13,"142-35-0766",874522
14,"145-28-6565",599139
15,"112-63-6481",416896
16,"853-42-5384",229429
17,"832-23-2782",692431
18,"702-72-3427",940866
19,"010-51-1700",290989
20,"355-41-2463",262875
21,"725-05-6638",771682
22,"105-78-4218",223045
23,"043-88-2028",697555
24,"865-72-7506",191445
25,"565-50-8781",334268
26,"358-87-6367",717470
27,"778-08-5267",817323
28,"322-56-6040",914810
29,"417-50-2805",824600
30,"478-77-0168",893306
31,"057-47-0307",398216
32,"731-01-3327",412607
33,"084-76-7037",169770
34,"667-88-5438",288616
35,"775-26-1206",595618
36,"723-13-7731",400862
37,"377-16-0536",619338
38,"588-25-0202",179064
39,"573-50-0347",817034
40,"801-64-4471",905006
41,"354-16-2062",759101
42,"837-86-6353",871602
43,"471-02-2438",382739
44,"745-84-5503",745508
45,"542-35-2342",684450
46,"161-78-0226",229189
47,"100-74-7353",490238
48,"821-51-0773",721894
49,"500-88-5554",285782
50,"362-64-7780",972943
51,"671-68-5564",965240
52,"060-11-2111",189213
53,"682-81-7633",262108
54,"710-87-8515",130496
55,"804-18-1012",315274
56,"117-77-0065",606850
57,"624-13-0454",416704
58,"328-13-7268",910669
59,"461-25-2550",585921
60,"347-47-0667",338050
61,"134-35-4852",129124
62,"105-66-5586",741431
63,"345-71-0885",401765
64,"636-02-3822",941130
65,"583-85-7164",418279
66,"803-22-4017",863735
67,"824-65-1518",148282
68,"348-74-5400",392043
69,"075-68-1033",874042
70,"428-12-4181",287009
71,"606-32-8656",347026
72,"810-82-6185",805965
73,"773-36-5267",150370
74,"011-20-5434",695138
75,"181-68-1544",372506
76,"816-73-7264",373835
77,"637-18-8217",721932
78,"427-26-4174",310728
79,"232-33-8711",210362
80,"323-08-2058",667533
81,"001-78-5567",381074
82,"478-83-4181",516196
83,"536-34-7814",541937
84,"478-07-6871",630494
85,"031-21-8088",803585
86,"842-34-2305",470598
87,"652-07-4277",663084
88,"458-65-8450",301698
89,"760-55-5756",616452
90,"664-42-2061",198569
91,"872-51-8188",849202
92,"623-81-7544",845602
93,"170-78-2658",334323
94,"481-16-5303",534280
95,"682-58-1827",169087
96,"504-33-0552",668930
97,"134-40-3885",353081
98,"438-28-8232",136884
99,"418-87-2656",891983
100,"160-61-7604",207953
1,"348-14-6088",782100
2,"285-83-6186",277218
3,"811-84-3310",487526
4,"773-80-8680",214040
5,"171-24-1530",234730
6,"110-44-7471",988596
7,"425-86-2712",889667
8,"830-04-7362",466032
9,"564-28-0407",133963
10,"077-14-3850",405356
11,"748-68-5701",335161
1,"348-14-6088",969107
2,"285-83-6186",196139
3,"811-84-3310",263774
4,"773-80-8680",774194
5,"171-24-1530",197053
6,"110-44-7471",648102
7,"425-86-2712",269317
8,"830-04-7362",655721
9,"564-28-0407",675069
10,"077-14-3850",868157
11,"748-68-5701",612488
12,"031-57-1657",917260
13,"142-35-0766",589353
14,"145-28-6565",869112
15,"112-63-6481",984872
16,"853-42-5384",156420
17,"832-23-2782",788277
18,"702-72-3427",656190
19,"010-51-1700",337079
20,"355-41-2463",973243
21,"725-05-6638",656368
22,"105-78-4218",755781
23,"043-88-2028",634235
24,"865-72-7506",719476
25,"565-50-8781",461579
26,"358-87-6367",197730
27,"778-08-5267",674907
28,"322-56-6040",170856
29,"417-50-2805",264689
30,"478-77-0168",447042
31,"057-47-0307",500356
32,"731-01-3327",447687
33,"084-76-7037",397509
34,"667-88-5438",136722
35,"775-26-1206",724848
36,"723-13-7731",726873
37,"377-16-0536",226534
38,"588-25-0202",850302
39,"573-50-0347",358173
40,"801-64-4471",164882
41,"354-16-2062",971525
42,"837-86-6353",350165
43,"471-02-2438",245887
44,"745-84-5503",706044
45,"542-35-2342",460739
46,"161-78-0226",825549
47,"100-74-7353",523263
48,"821-51-0773",941835
49,"500-88-5554",817913
50,"362-64-7780",629468
51,"671-68-5564",998408
52,"060-11-2111",659736
53,"682-81-7633",264214
54,"710-87-8515",441349
55,"804-18-1012",642513
56,"117-77-0065",572624
57,"624-13-0454",157981
58,"328-13-7268",521813
59,"461-25-2550",133599
60,"347-47-0667",227056
61,"134-35-4852",154646
62,"105-66-5586",243842
63,"345-71-0885",454567
64,"636-02-3822",553967
65,"583-85-7164",512215
66,"803-22-4017",184878
67,"824-65-1518",905138
68,"348-74-5400",557697
69,"075-68-1033",208652
70,"428-12-4181",894260
71,"606-32-8656",999700
72,"810-82-6185",716485
73,"773-36-5267",968494
74,"011-20-5434",952029
75,"181-68-1544",709810
76,"816-73-7264",281996
77,"637-18-8217",718702
78,"427-26-4174",968571
79,"232-33-8711",593919
80,"323-08-2058",876359
81,"001-78-5567",998459
82,"478-83-4181",727232
83,"536-34-7814",534789
84,"478-07-6871",144070
85,"031-21-8088",891537
86,"842-34-2305",437680
87,"652-07-4277",973084
88,"458-65-8450",307084
89,"760-55-5756",643967
90,"664-42-2061",223056
91,"872-51-8188",729184
92,"623-81-7544",280472
93,"170-78-2658",410978
94,"481-16-5303",946612
95,"682-58-1827",631154
96,"504-33-0552",359383
97,"134-40-3885",750195
98,"438-28-8232",592230
99,"418-87-2656",838599
100,"160-61-7604",700841
1,"348-14-6088",457861
2,"285-83-6186",690209
3,"811-84-3310",430444
4,"773-80-8680",938825
5,"171-24-1530",560102
6,"110-44-7471",596666
7,"425-86-2712",485749
8,"830-04-7362",458545
9,"564-28-0407",682550
10,"077-14-3850",506872
11,"748-68-5701",106582
1,"348-14-6088",389751
2,"285-83-6186",782885
3,"811-84-3310",826307
4,"773-80-8680",708906
5,"171-24-1530",415614
6,"110-44-7471",593729
7,"425-86-2712",877015
8,"830-04-7362",112028
9,"564-28-0407",276707
10,"077-14-3850",346416
11,"748-68-5701",855622
12,"031-57-1657",761463
13,"142-35-0766",597191
14,"145-28-6565",310330
15,"112-63-6481",552617
16,"853-42-5384",992180
17,"832-23-2782",678859
18,"702-72-3427",587450
19,"010-51-1700",256059
20,"355-41-2463",319046
21,"725-05-6638",837793
22,"105-78-4218",628647
23,"043-88-2028",119618
24,"865-72-7506",226511
25,"565-50-8781",459911
26,"358-87-6367",948523
27,"778-08-5267",437271
28,"322-56-6040",568678
